id,name,accuracy,power_points,priority,power,description,type_id
408,power-gem,100,20,0,80,The user attacks witha ray of light thatsparkles as if it weremade of gemstones,6
409,drain-punch,100,10,0,75,An energy-drainingpunch The user’sHP is restored byhalf the damage takenby the target,2
410,vacuum-wave,100,30,1,40,The user whirls itsfists to send a waveof pure vacuum atthe foe This movealways goes first,2
411,focus-blast,70,5,0,120,The user heightensits mental focus andunleashes its powerIt may also lower thetarget’s Sp Def,2
412,energy-ball,100,10,0,90,The user draws powerfrom nature andfires it at the foeIt may also lower thetarget’s Sp Def,12
413,brave-bird,100,15,0,120,The user tucks inits wings and chargesfrom a low altitudeThe user also takesserious damage,3
414,earth-power,100,10,0,90,The user makes theground under the foeerupt with powerIt may also lower thetarget’s Sp Def,5
415,switcheroo,100,10,0,,The user trades helditems with the foefaster than the eyecan follow,17
416,giga-impact,90,5,0,150,The user charges atthe foe using everybit of its powerThe user must reston the next turn,1
417,nasty-plot,,20,0,,The user stimulatesits brain by thinkingbad thoughtsIt sharply raises theuser’s Sp Atk,17
418,bullet-punch,100,30,1,40,The user strikeswith a tough punch asfast as a bulletThis move always goesfirst,9
419,avalanche,100,10,-4,60,An attack move thatinflicts double thedamage if the userhas been hurt by thefoe in the same turn,15
420,ice-shard,100,30,1,40,The user flashfreezes chunks ofice and hurls themThis move always goesfirst,15
421,shadow-claw,100,15,0,70,The user slashes witha sharp claw madefrom shadowsIt has a highcritical-hit ratio,8
422,thunder-fang,95,15,0,65,The user bites withelectrified fangsIt may also make thefoe flinch or becomeparalyzed,13
423,ice-fang,95,15,0,65,The user bites withcold-infused fangsIt may also make thefoe flinch or freeze,15
424,fire-fang,95,15,0,65,The user bites withflame-cloaked fangsIt may also make thefoe flinch or sustaina burn,10
425,shadow-sneak,100,30,1,40,The user extends itsshadow and attacksthe foe from behindThis move always goesfirst,8
426,mud-bomb,85,10,0,65,The user launches ahard-packed mud ballto attackIt may also lower thetarget’s accuracy,5
427,psycho-cut,100,20,0,70,The user tears atthe foe with bladesformed by psychicpower It has a highcritical-hit ratio,14
428,zen-headbutt,90,15,0,80,The user focuses itswillpower to its headand rams the foeIt may also make thetarget flinch,14
429,mirror-shot,85,10,0,65,The user looses aflash of energy fromits polished bodyIt may also lower thetarget’s accuracy,9
430,flash-cannon,100,10,0,80,The user gathers allits light energy andreleases it at onceIt may also lower thefoe’s Sp Def stat,9
431,rock-climb,85,20,0,90,A charging attackthat may also leavethe foe confusedIt can also be usedto scale rocky walls,1
432,defog,,15,0,,"Obstacles are moved,reducing the foe’sevasion stat It canalso be used toclear deep fog, etc",3
433,trick-room,,5,-7,,The user creates abizarre area in whichslower Pokémon getto move first for fiveturns,14
434,draco-meteor,90,5,0,130,Comets are summoneddown from the skyThe attack’s recoilsharply reduces theuser’s Sp Atk stat,16
435,discharge,100,15,0,80,A flare of electricityis loosed to strikeall Pokémon in battleIt may also causeparalysis,13
436,lava-plume,100,15,0,80,An inferno of scarletflames washes overall Pokémon in battleIt may also inflictburns,10
437,leaf-storm,90,5,0,130,A storm of sharpleaves is whipped upThe attack’s recoilsharply reduces theuser’s Sp Atk stat,12
438,power-whip,85,10,0,120,The user violentlywhirls its vines ortentacles to harshlylash the foe,12
439,rock-wrecker,90,5,0,150,"The user launches ahuge boulder at thefoe to attackIt must rest on thenext turn, however",6
440,cross-poison,100,20,0,70,A slashing attackthat may also leavethe target poisonedIt has a highcritical-hit ratio,4
441,gunk-shot,80,5,0,120,The user shootsfilthy garbage at thefoe to attackIt may also poisonthe target,4
442,iron-head,100,15,0,80,The foe slams thetarget with itssteel-hard headIt may also make thetarget flinch,9
443,magnet-bomb,,20,0,60,The user launches asteel bomb thatsticks to the targetThis attack will notmiss,9
444,stone-edge,80,5,0,100,The user stabs thefoe with a sharpenedstone It has a highcritical-hit ratio,6
445,captivate,100,20,0,,"If it is the oppositegender of the user,the foe is charmedinto sharply loweringits Sp Atk stat",1
446,stealth-rock,,20,0,,The user lays a trapof levitating stonesaround the foe Thetrap hurts foes thatswitch into battle,6
447,grass-knot,100,20,0,,"The user snares thefoe with grass andtrips it The heavierthe foe, the greaterthe damage",12
448,chatter,100,20,0,65,The user attacksusing a sound wavebased on words it haslearned It may alsoconfuse the foe,3
449,judgment,100,10,0,100,The user releasescountless shots oflight Its type varieswith the kind of Platethe user is holding,1
450,bug-bite,100,20,0,60,"The user bites thefoe If the foe isholding a Berry, theuser eats it andgains its effect",7
451,charge-beam,90,10,0,50,The user fires aconcentrated bundleof electricity It mayalso raise the user’sSp Atk stat,13
452,wood-hammer,100,15,0,120,The user slams itsrugged body into thefoe to attack Theuser also sustainsserious damage,12
453,aqua-jet,100,20,1,40,The user lunges atthe foe at a speedthat makes it almostinvisible It is sureto strike first,11
454,attack-order,100,15,0,90,The user calls outits underlings topummel the foeIt has a highcritical-hit ratio,7
455,defend-order,,10,0,,"The user calls outits underlings tomake a living shield,raising its Defenseand Sp Def stats",7
456,heal-order,,10,0,,The user calls outits underlings to healit The user regainsup to half of itsmax HP,7
457,head-smash,80,5,0,150,The user delivers alife-endangering headbutt at full powerThe user also takesterrible damage,6
458,double-hit,90,10,0,35,"The user slams thefoe with a tail, etcThe target is hittwice in a row",1
459,roar-of-time,90,5,0,150,The user blasts thefoe with power thatdistorts even timeThe user must reston the next turn,16
460,spacial-rend,95,5,0,100,The user tears thefoe along with thespace around itThis move has a highcritical-hit ratio,16
461,lunar-dance,,10,0,,"The user faints Inreturn, the Pokémontaking its place willhave its status andHP fully restored",14
462,crush-grip,100,5,0,,The foe is crushedwith great forceThe attack is morepowerful the more HPthe foe has left,1
463,magma-storm,75,5,0,100,The foe becomestrapped within amaelstrom of firethat rages for twoto five turns,10
464,dark-void,50,10,0,,The foe is draggedinto a world of totaldarkness that puts itto sleep,17
465,seed-flare,85,5,0,120,The user generatesa shock wave fromwithin its bodyIt may also lower thetarget’s Sp Def,12
466,ominous-wind,100,5,0,60,The user creates agust of repulsivewind It may alsoraise all the user’sstats at once,8
467,shadow-force,100,5,0,120,"The user disappears,then strikes the foeon the second turnIt hits even if thefoe used Protect",8
468,hone-claws,,15,0,,The user sharpens its claws toboost its Attack stat and accuracy,17
469,wide-guard,,10,3,,"The user and its allies are protected fromwide-ranging attacks for one turn If usedin succession, its chance of failing rises",6
470,guard-split,,10,0,,The user employs its psychic power toaverage its Defense and Sp Def statswith those of its target’s,14
471,power-split,,10,0,,The user employs its psychic power toaverage its Attack and Sp Atk statswith those of the target’s,14
472,wonder-room,,10,0,,The user creates a bizarre area in whichPokémon’s Defense and Sp Defstats are swapped for five turns,14
473,psyshock,100,10,0,80,The user materializes an oddpsychic wave to attack the targetThis attack does physical damage,14
474,venoshock,100,10,0,65,The user drenches the target in a specialpoisonous liquid Its power is doubledif the target is poisoned,4
475,autotomize,,15,0,,The user sheds part of its bodyto make itself lighter and sharplyraise its Speed stat,9
476,rage-powder,,20,2,,The user scatters a cloud of irritatingpowder to draw attention to itselfOpponents aim only at the user,7
477,telekinesis,,15,0,,The user makes the target float with itspsychic power The target is easier tohit for three turns,14
478,magic-room,,10,0,,The user creates a bizarre areain which Pokémon’s held itemslose their effects for five turns,14
479,smack-down,100,15,0,50,The user throws a stone or projectile toattack an opponent A flying Pokémon willfall to the ground when hit,6
480,storm-throw,100,10,0,60,The user strikes the target with a fierceblow This attack always results in acritical hit,2
481,flame-burst,100,15,0,70,The user attacks the target with abursting flame The bursting flame damagesPokémon next to the target as well,10
482,sludge-wave,100,10,0,95,It swamps the area around the user with agiant sludge waveIt may also poison those hit,4
483,quiver-dance,,20,0,,"The user lightly performs a beautiful,mystic dance It boosts the user’sSp Atk, Sp Def, and Speed stats",7
484,heavy-slam,100,10,0,,"The user slams into the target with itsheavy body The more the user outweighsthe target, the greater its damage",9
485,synchronoise,100,10,0,120,"Using an odd shock wave, the userinflicts damage on any Pokémon of the sametype in the area around it",14
486,electro-ball,100,10,0,,"The user hurls an electric orbat the target The faster the user isthan the target, the greater the damage",13
487,soak,100,20,0,,The user shoots a torrent of waterat the target and changesthe target’s type to Water,11
488,flame-charge,100,20,0,50,"The user cloaks itself with flame andattacks Building up more power,it raises the user’s Speed stat",10
489,coil,,20,0,,The user coils up and concentratesThis raises its Attack and Defense statsas well as its accuracy,4
490,low-sweep,100,20,0,65,"The user attacks the target’s legsswiftly, reducing the target’sSpeed stat",2
491,acid-spray,100,20,0,40,The user spits fluid that works to meltthe target This harshly reducesthe target’s Sp Def stat,4
492,foul-play,100,15,0,95,"The user turns the target’s poweragainst it The higher the target’sAttack stat, the greater the damage",17
493,simple-beam,100,15,0,,The user’s mysterious psychic wavechanges the target’s Ability to Simple,1
494,entrainment,100,15,0,,"The user dances with an odd rhythm thatcompels the target to mimic it, making thetarget’s Ability the same as the user’s",1
495,after-you,,15,0,,The user helps the target and makes ituse its move right after the user,1
496,round,100,15,0,60,The user attacks the target with a songOthers can join in the Round and makethe attack do greater damage,1
497,echoed-voice,100,15,0,40,"The user attacks the target with anechoing voice If this move is usedevery turn, it does greater damage",1
498,chip-away,100,20,0,70,"Looking for an opening, the user strikescontinually The target’s stat changesdon’t affect this attack’s damage",1
499,clear-smog,,15,0,50,The user attacks by throwing a clump ofspecial mud All status changes arereturned to normal,4
500,stored-power,100,10,0,20,"The user attacks the target with storedpower The more the user’s stats areraised, the greater the damage",14
501,quick-guard,,15,3,,"The user protects itself and its alliesfrom priority moves If used insuccession, its chance of failing rises",2
502,ally-switch,,15,2,,The user teleports using a strange powerand switches its place with one ofits allies,14
503,scald,100,15,0,80,The user shoots boiling hot water atits target It may also leave the targetwith a burn,11
504,shell-smash,,15,0,,"The user breaks its shell, lowering itsDefense and Sp Def stats but sharplyraising Attack, Sp Atk, and Speed stats",1
505,heal-pulse,,10,0,,The user emits a healing pulse whichrestores the target’s HP by up tohalf of its max HP,14
506,hex,100,10,0,65,This relentless attack does massivedamage to a target affectedby status problems,8
507,sky-drop,100,10,0,60,"The user takes the target into the sky,then drops it during the next turnThe target cannot attack while in the sky",3
508,shift-gear,,10,0,,"The user rotates its gears, raising itsAttack and sharply raising its Speed",9
509,circle-throw,90,10,-6,60,"The user throws the target and drags outanother Pokémon in its partyIn the wild, the battle ends",2
510,incinerate,100,15,0,60,"The user attacks the target with fireIf the target is holding a Berry, theBerry becomes burnt up and unusable",10
511,quash,100,15,0,,The user suppresses the target andmakes its move go last,17
512,acrobatics,100,15,0,55,"The user nimbly strikes the targetIf the user is not holding an item,this attack inflicts massive damage",3
513,reflect-type,,15,0,,"The user reflects the target’s type,making it the same type as the target",1
514,retaliate,100,5,0,70,"The user gets revenge for a fainted allyIf an ally fainted in the previous turn,this attack’s damage increases",1
515,final-gambit,100,5,0,,The user risks everything to attack itstarget The user faints but does damageequal to the user’s HP,2
516,bestow,,15,0,,The user passes its held item to thetarget when the target isn’t holdingan item,1
517,inferno,50,5,0,100,The user attacks by engulfing the targetin an intense fire It leaves the targetwith a burn,10
518,water-pledge,100,10,0,80,"A column of water strikes the target Whencombined with its fire equivalent, thedamage increases and a rainbow appears",11
519,fire-pledge,100,10,0,80,"A column of fire hits opposing PokémonWhen used with its Grass equivalent, itsdamage increases into a vast sea of fire",10
520,grass-pledge,100,10,0,80,"A column of grass hits opposing PokémonWhen used with its water equivalent, itsdamage increases into a vast swamp",12
521,volt-switch,100,20,0,70,"After making its attack, the userrushes back to switch places witha party Pokémon in waiting",13
522,struggle-bug,100,20,0,50,"While resisting, the user attacks theopposing Pokémon The targets’Sp Atk stat is reduced",7
523,bulldoze,100,20,0,60,The user stomps down on the groundand attacks everything in the area HitPokémon’s Speed stat is reduced,5
524,frost-breath,90,10,0,60,The user blows a cold breath on thetarget This attack always results ina critical hit,15
525,dragon-tail,90,10,-6,60,"The user knocks away the target anddrags out another Pokémon in its partyIn the wild, the battle ends",16
526,work-up,,30,0,,"The user is roused, and its Attackand Sp Atk stats increase",1
527,electroweb,95,15,0,55,The user captures and attacks opposingPokémon by using an electric net Itreduces the targets’ Speed stat,13
528,wild-charge,100,15,0,90,The user shrouds itself in electricityand smashes into its targetIt also damages the user a little,13
529,drill-run,95,10,0,80,The user crashes into its target whilerotating its body like a drillCritical hits land more easily,5
530,dual-chop,90,15,0,40,The user attacks its target by hittingit with brutal strikesThe target is hit twice in a row,16
531,heart-stamp,100,25,0,60,The user unleashes a vicious blow afterits cute act makes the target less waryIt may also make the target flinch,14
532,horn-leech,100,10,0,75,The user drains the target’s energy withits horns The user’s HP is restoredby half the damage taken by the target,12
533,sacred-sword,100,15,0,90,The user attacks by slicing with its longhorns The target’s stat changesdon’t affect this attack’s damage,2
534,razor-shell,95,10,0,75,The user cuts its target with sharpshells This attack may also lower thetarget’s Defense stat,11
535,heat-crash,100,10,0,,"The user slams its target with its flame-covered body The more the user outweighsthe target, the greater the damage",10
536,leaf-tornado,90,10,0,65,The user attacks its target byencircling it in sharp leaves This attackmay also lower the target’s accuracy,12
537,steamroller,100,20,0,65,The user crushes its targets by rollingover them with its rolled-up bodyThis attack may make the target flinch,7
538,cotton-guard,,10,0,,"The user protects itself by wrappingits body in soft cotton, drasticallyraising the user’s Defense stat",12
539,night-daze,95,10,0,85,The user lets loose a pitch-black shockwave at its target It may also lower thetarget’s accuracy,17
540,psystrike,100,10,0,100,The user materializes an oddpsychic wave to attack the targetThis attack does physical damage,14
541,tail-slap,85,10,0,25,The user attacks by striking the targetwith its hard tail It hits the target twoto five times in a row,1
542,hurricane,70,10,0,110,The user attacks by wrapping its opponentin a fierce wind that flies up into the skyIt may also confuse the target,3
543,head-charge,100,15,0,120,"The user charges its head into itstarget, using its powerful guard hairIt also damages the user a little",1
544,gear-grind,85,15,0,50,The user attacks by throwingtwo steel gears at its target,9
545,searing-shot,100,5,0,100,An inferno of scarlet flames torcheseverything around the user It mayleave targets with a burn,10
546,techno-blast,100,5,0,120,The user fires a beam of light atits target The type changes dependingon the Drive the user holds,1
547,relic-song,100,10,0,75,The user sings an ancient song and attacksby appealing to the hearts of thoselistening It may also induce sleep,1
548,secret-sword,100,10,0,85,The user cuts with its long horn The oddpower contained in the horn does physicaldamage to the target,2
549,glaciate,95,10,0,65,The user attacks by blowing freezing coldair at opposing Pokémon This attackreduces the targets’ Speed stat,15
550,bolt-strike,85,5,0,130,"The user charges its target, surroundingitself with a great amount of electricityIt may leave the target with paralysis",13
551,blue-flare,85,5,0,130,"The user attacks by engulfing the targetin an intense, yet beautiful, blue flameIt may leave the target with a burn",10
552,fiery-dance,100,10,0,80,"Cloaked in flames, the user dancesand flaps its wings It may alsoraise the user’s Sp Atk stat",10
553,freeze-shock,90,5,0,140,"On the second turn, the user hits thetarget with electrically charged iceIt may leave the target with paralysis",15
554,ice-burn,90,5,0,140,"On the second turn, an ultracold,freezing wind surrounds the targetThis may leave the target with a burn",15
555,snarl,95,15,0,55,"The user yells as if it is ranting aboutsomething, making the target’s Sp Atkstat decrease",17
556,icicle-crash,90,10,0,85,The user attacks by harshly droppingan icicle onto the targetIt may also make the target flinch,15
557,v-create,95,5,0,180,"With a hot flame on its forehead, the userhurls itself at its target It lowers theuser’s Defense, Sp Def, and Speed stats",10
558,fusion-flare,100,5,0,100,The user brings down a giant flameThis attack does greater damage wheninfluenced by an enormous thunderbolt,10
559,fusion-bolt,100,5,0,100,The user throws down a giant thunderboltThis attack does greater damagewhen influenced by an enormous flame,13
560,flying-press,95,10,0,100,The user dives down onto the targetfrom the sky This move is Fightingand Flying type simultaneously,2
561,mat-block,,10,0,,"Using a pulled-up mat as a shield, the userprotects itself and its allies from damaging movesThis does not stop status moves",2
562,belch,90,10,0,120,The user lets out a damaging belchat the target The user must eat a heldBerry to use this move,4
563,rototiller,,10,0,,"Tilling the soil, the user makes it easierfor plants to grow This raises the Attackand Sp Atk stats of Grass-type Pokémon",5
564,sticky-web,,20,0,,"The user weaves a sticky net aroundthe opposing team, which lowers theirSpeed stat upon switching into battle",7
565,fell-stinger,100,25,0,50,"When the user knocks out a targetwith this move, the user’s Attack statrises sharply",7
566,phantom-force,100,10,0,90,"The user vanishes somewhere, then strikesthe target on the next turnThis move hits even if the target protects itself",8
567,trick-or-treat,100,20,0,,The user takes the target trick-or-treatingThis adds Ghost type to the target’s type,8
568,noble-roar,100,30,0,,"Letting out a noble roar, the userintimidates the target and lowersits Attack and Sp Atk stats",1
569,ion-deluge,,25,1,,"The user disperses electrically chargedparticles, which changes Normal-typemoves to Electric-type moves",13
570,parabolic-charge,100,20,0,65,The user attacks everything around itThe user’s HP is restored by halfthe damage taken by those hit,13
571,forests-curse,100,20,0,,The user puts a forest curse on the targetAfflicted targets are now Grass type as well,12
572,petal-blizzard,100,15,0,90,The user stirs up a violent petal blizzardand attacks everything around it,12
573,freeze-dry,100,20,0,70,The user rapidly cools the targetThis may also leave the target frozenThis move is super effective on Water types,15
574,disarming-voice,,15,0,40,"Letting out a charming cry, the user doesemotional damage to opposing PokémonThis attack never misses",18
575,parting-shot,100,20,0,,"With a parting threat, the user lowersthe target’s Attack and Sp Atk statsThen it switches with a party Pokémon",17
576,topsy-turvy,,20,0,,All stat changes affecting the targetturn topsy-turvy and become theopposite of what they were,17
577,draining-kiss,100,10,0,50,The user steals the target’s energy with a kissThe user’s HP is restored by over halfof the damage taken by the target,18
578,crafty-shield,,10,3,,The user protects itself and its allies fromstatus moves with a mysterious powerThis does not stop moves that do damage,18
579,flower-shield,,10,0,,The user raises the Defense statof all Grass-type Pokémon in battlewith a mysterious power,18
580,grassy-terrain,,10,0,,The user turns the ground under everyone’s feetto grass for five turns This restores the HP ofPokémon on the ground a little every turn,12
581,misty-terrain,,10,0,,The user covers the ground under everyone’s feetwith mist for five turns This protects Pokémonon the ground from status conditions,18
582,electrify,,20,0,,"If the target is electrified before it usesa move during that turn, the target’smove becomes Electric type",13
583,play-rough,90,10,0,90,The user plays rough with the targetand attacks it This may also lowerthe target’s Attack stat,18
584,fairy-wind,100,30,0,40,The user stirs up a fairy windand strikes the target with it,18
585,moonblast,100,15,0,95,"Borrowing the power of the moon,the user attacks the targetThis may also lower the target’s Sp Atk stat",18
586,boomburst,100,10,0,140,"The user attacks everything around itwith the destructive power of a terrible,explosive sound",1
587,fairy-lock,,10,0,,"By locking down the battlefield,the user keeps all Pokémon fromfleeing during the next turn",18
588,kings-shield,,10,4,,The user takes a defensive stance while it protectsitself from damage It also harshly lowers the Attackstat of any attacker who makes direct contact,9
589,play-nice,,20,0,,"The user and the target become friends,and the target loses its will to fightThis lowers the target’s Attack stat",1
590,confide,,20,0,,"The user tells the target a secret, and the targetloses its ability to concentrate This lowersthe target’s Sp Atk stat",1
591,diamond-storm,95,5,0,100,The user whips up a storm of diamondsto damage opposing Pokémon This mayalso raise the user’s Defense stat,6
592,steam-eruption,95,5,0,110,The user immerses the target in superheated steamThis may also leave the target with a burn,11
593,hyperspace-hole,,5,0,80,"Using a hyperspace hole, the user appearsright next to the target and strikes Thisalso hits a target using Protect or Detect",14
594,water-shuriken,100,20,1,15,The user hits the target with throwingstars two to five times in a rowThis move always goes first,11
595,mystical-fire,100,10,0,75,"The user attacks by breathinga special, hot fire This alsolowers the target’s Sp Atk stat",10
596,spiky-shield,,10,4,,"In addition to protecting the user from attacks,this move also damages any attacker whomakes direct contact",12
597,aromatic-mist,,20,0,,The user raises the Sp Def stat of an allyPokémon by using a mysterious aroma,18
598,eerie-impulse,100,15,0,,The user’s body generates an eerie impulseExposing the target to it harshly lowersthe target’s Sp Atk stat,13
599,venom-drench,100,20,0,,"Opposing Pokémon are drenched in an oddpoisonous liquid This lowers the Attack,Sp Atk, and Speed stats of a poisoned target",4
600,powder,100,20,1,,The user covers the target in a powderthat explodes and damages the targetif it uses a Fire-type move,7
601,geomancy,,10,0,,"The user absorbs energy and sharply raisesits Sp Atk, Sp Def, and Speed statson the next turn",18
602,magnetic-flux,,20,0,,"The user manipulates magnetic fields,which raises the Defense and Sp Def statsof ally Pokémon with the Plus or Minus Ability",13
603,happy-hour,,30,0,,Using Happy Hour doublesthe amount of prize moneyreceived after battle,1
604,electric-terrain,,10,0,,The user electrifies the ground undereveryone’s feet for five turnsPokémon on the ground no longer fall asleep,13
605,dazzling-gleam,100,10,0,80,The user damages opposing Pokémonby emitting a powerful flash,18
606,celebrate,,40,0,,The Pokémon congratulatesyou on your special day!,1
607,hold-hands,,40,0,,The user and an ally hold handsThis makes them very happy,1
608,baby-doll-eyes,100,30,1,,"The user stares at the target with its baby-dolleyes, which lowers its Attack stat This movealways goes first",18
609,nuzzle,100,20,0,20,The user attacks by nuzzling its electrifiedcheeks against the target This also leavesthe target with paralysis,13
610,hold-back,100,40,0,40,The user holds back when it attacksand the target is left with at least 1 HP,1
611,infestation,100,20,0,20,The target is infested and attacked forfour to five turnsThe target can’t flee during this time,7
612,power-up-punch,100,20,0,40,Striking opponents over and over makesthe user’s fists harderHitting a target raises the Attack stat,2
613,oblivion-wing,100,10,0,80,The user absorbs its target’s HPThe user’s HP is restored by over halfof the damage taken by the target,3
614,thousand-arrows,100,10,0,90,This move also hits opposing Pokémonthat are in the air Those Pokémon areknocked down to the ground,5
615,thousand-waves,100,10,0,90,The user attacks with a wavethat crawls along the groundThose hit can’t flee from battle,5
616,lands-wrath,100,10,0,90,The user gathers the energy of the landand focuses that power on opposingPokémon to damage them,5
617,light-of-ruin,90,5,0,140,"Drawing power from the Eternal Flower,the user fires a powerful beam of lightThis also damages the user quite a lot",18
618,origin-pulse,85,10,0,110,The user attacks opposing Pokémon with countlessbeams of light that glow a deep and brilliant blue,11
619,precipice-blades,85,10,0,120,The user attacks opposing Pokémon by manifestingthe power of the land in fearsome blades of stone,5
620,dragon-ascent,100,5,0,120,"After soaring upward, the user attacks its target bydropping out of the sky at high speeds, although itlowers its own Defense and Sp Def in the process",3
621,hyperspace-fury,,5,0,100,"Using its many arms, the user unleashes a barrage ofattacks that ignore the effects of moves like Protectand Detect This attack lowers the user’s Defense",17
622,breakneck-blitz--physical,,1,0,,"The user builds up its momentum using its Z-Powerand crashes into the target at full speed The powervaries, depending on the original move",1
623,breakneck-blitz--special,,1,0,,Dummy Data,1
624,all-out-pummeling--physical,,1,0,,"The user rams an energy orb created by its Z-Powerinto the target with full force The power varies,depending on the original move",2
625,all-out-pummeling--special,,1,0,,Dummy Data,2
626,supersonic-skystrike--physical,,1,0,,"The user soars up with its Z-Power and plummetstoward the target at full speed The power varies,depending on the original move",3
627,supersonic-skystrike--special,,1,0,,Dummy Data,3
628,acid-downpour--physical,,1,0,,"The user creates a poisonous swamp using itsZ-Power and sinks the target into it at full forceThe power varies, depending on the original move",4
629,acid-downpour--special,,1,0,,Dummy Data,4
630,tectonic-rage--physical,,1,0,,"The user burrows deep into the ground and slamsinto the target with the full force of its Z-PowerThe power varies, depending on the original move",5
631,tectonic-rage--special,,1,0,,Dummy Data,5
632,continental-crush--physical,,1,0,,"The user summons a huge rock mountain using itsZ-Power and drops it onto the target with full forceThe power varies, depending on the original move",6
633,continental-crush--special,,1,0,,Dummy Data,6
634,savage-spin-out--physical,,1,0,,"The user binds the target with full force withthreads of silk that the user spits using its Z-PowerThe power varies, depending on the original move",7
635,savage-spin-out--special,,1,0,,Dummy Data,7
636,never-ending-nightmare--physical,,1,0,,"Deep-seated grudges summoned by the user’sZ-Power trap the target The power varies,depending on the original move",8
637,never-ending-nightmare--special,,1,0,,Dummy Data,8
638,corkscrew-crash--physical,,1,0,,"The user spins very fast and rams into the targetwith the full force of its Z-Power The power varies,depending on the original move",9
639,corkscrew-crash--special,,1,0,,Dummy Data,9
640,inferno-overdrive--physical,,1,0,,The user breathes a stream of intense fire towardthe target with the full force of its Z-PowerThe power varies depending on the original move,10
641,inferno-overdrive--special,,1,0,,Dummy Data,10
642,hydro-vortex--physical,,1,0,,"The user creates a huge whirling current usingits Z-Power to swallow the target with full forceThe power varies, depending on the original move",11
643,hydro-vortex--special,,1,0,,Dummy Data,11
644,bloom-doom--physical,,1,0,,"The user collects energy from plants using itsZ-Power and attacks the target with full forceThe power varies, depending on the original move",12
645,bloom-doom--special,,1,0,,Dummy Data,12
646,gigavolt-havoc--physical,,1,0,,"The user hits the target with a powerful electriccurrent collected by its Z-Power The power varies,depending on the original move",13
647,gigavolt-havoc--special,,1,0,,Dummy Data,13
648,shattered-psyche--physical,,1,0,,"The user controls the target with its Z-Power andhurts the target with full force The power varies,depending on the original move",14
649,shattered-psyche--special,,1,0,,Dummy Data,14
650,subzero-slammer--physical,,1,0,,"The user dramatically drops the temperature usingits Z-Power and freezes the target with full forceThe power varies, depending on the original move",15
651,subzero-slammer--special,,1,0,,Dummy Data,15
652,devastating-drake--physical,,1,0,,"The user materializes its aura using its Z-Power andattacks the target with full force The power varies,depending on the original move",16
653,devastating-drake--special,,1,0,,Dummy Data,16
654,black-hole-eclipse--physical,,1,0,,"The user gathers dark energy using its Z-Powerand sucks the target into it The power varies,depending on the original move",17
655,black-hole-eclipse--special,,1,0,,Dummy Data,17
656,twinkle-tackle--physical,,1,0,,"The user creates a very charming space using itsZ-Power and totally toys with the target The powervaries, depending on the original move",18
657,twinkle-tackle--special,,1,0,,Dummy Data,18
658,catastropika,,1,0,210,"The user, Pikachu, surrounds itself with themaximum amount of electricity using its Z-Powerand pounces on its target with full force",13
659,shore-up,,10,0,,The user regains up to half of its max HP It restoresmore HP in a sandstorm,5
660,first-impression,100,10,2,90,"Although this move has great power, it only worksthe first turn the user is in battle",7
661,baneful-bunker,,10,4,,"In addition to protecting the user from attacks, thismove also poisons any attacker that makesdirect contact",4
662,spirit-shackle,100,10,0,80,The user attacks while simultaneously stitching thetarget’s shadow to the ground to prevent the targetfrom escaping,8
663,darkest-lariat,100,10,0,85,The user swings both arms and hits the targetThe target’s stat changes don’t affect thisattack’s damage,17
664,sparkling-aria,100,10,0,90,"The user bursts into song, emitting many bubblesAny Pokémon suffering from a burn will be healedby the touch of these bubbles",11
665,ice-hammer,90,10,0,100,"The user swings and hits with its strong, heavy fistIt lowers the user’s Speed, however",15
666,floral-healing,,10,0,,The user restores the target’s HP by up to half of itsmax HP It restores more HP when the terrainis grass,18
667,high-horsepower,95,10,0,95,The user fiercely attacks the target using itsentire body,5
668,strength-sap,100,10,0,,The user restores its HP by the same amount as thetarget’s Attack stat It also lowers the target’sAttack stat,12
669,solar-blade,100,10,0,125,"In this two-turn attack, the user gathers light andfills a blade with the light’s energy, attacking thetarget on the next turn",12
670,leafage,100,40,0,40,The user attacks by pelting the target with leaves,12
671,spotlight,,15,3,,The user shines a spotlight on the target so thatonly the target will be attacked during the turn,1
672,toxic-thread,100,20,0,,The user shoots poisonous threads to poison thetarget and lower the target’s Speed stat,4
673,laser-focus,,30,0,,The user concentrates intensely The attack on thenext turn always results in a critical hit,1
674,gear-up,,20,0,,The user engages its gears to raise the Attack andSp Atk stats of ally Pokémon with the Plus orMinus Ability,9
675,throat-chop,100,15,0,80,"The user attacks the target’s throat, and theresultant suffering prevents the target from usingmoves that emit sound for two turns",17
676,pollen-puff,100,15,0,90,"The user attacks the enemy with a pollen puff thatexplodes If the target is an ally, it gives the ally apollen puff that restores its HP instead",7
677,anchor-shot,100,20,0,80,The user entangles the target with its anchor chainwhile attacking The target becomes unable to flee,9
678,psychic-terrain,,10,0,,This protects Pokémon on the ground from prioritymoves and powers up Psychic-type moves forfive turns,14
679,lunge,100,15,0,80,"The user makes a lunge at the target, attacking withfull force This also lowers the target’s Attack stat",7
680,fire-lash,100,15,0,80,The user strikes the target with a burning lash Thisalso lowers the target’s Defense stat,10
681,power-trip,100,10,0,20,"The user boasts its strength and attacks the targetThe more the user’s stats are raised, the greater themove’s power",17
682,burn-up,100,5,0,130,"To inflict massive damage, the user burns itself outAfter using this move, the user will no longer beFire type",10
